ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _wc_average_rating,Meta: _wc_review_count,Meta: _wo_test_batch,Meta: _virtual,Meta: _downloadable
1011,simple,WO-CHAOS-SEASONING,0850001000116,Chaos Seasoning Blend,1,0,visible,A spice blend that tastes slightly different every time. Science cannot explain it.,"Contains: salt, pepper, cumin, uncertainty, and one ingredient the manufacturer declines to name. Pairs well with everything and nothing. Do not refrigerate.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,88,15,no,0,0.08,5,5,12,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",11.0,14.0,Shop > Forbidden Snacks,"edible, spice, mystery",standard,woo-assets://product-wo-chaos-seasoning.jpg,,,,,WO-FORBIDDEN-HONEY,WO-BOTTLED-MORNING,,,10,Brand,Entropy Kitchen,1,1,,Net Weight,60g,1,0,,Heat Level,Varies,1,0,,,,,,Chaos Seasoning Blend | Wonders & Oddities General Store,Chaos Seasoning Blend: A spice blend that tastes slightly different every time. Science cannot explain it.,chaos blend,4.7,134,2026-04-16-a,no,no
1012,simple,WO-HAUNTED-CANDLE,0850001000123,Mildly Haunted Candle,1,0,visible,Beeswax candle. Faint whispering upon ignition. Ethically sourced ghost.,Hand-poured in small batches and then left overnight in a house with documented paranormal activity. The resident entity is described as 'polite' and 'helpful with crosswords'.,,,taxable,,1,15,5,no,0,0.45,8,8,10,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,38.0,"Shop > Moods & Feelings, Shop > Curiosities","candle, paranormal, handcrafted, beeswax",standard,woo-assets://product-wo-haunted-candle.jpg,,,,,WO-SILENCE-JAR,WO-FOG-IN-BOTTLE,,,11,Brand,Wonders & Co.,1,1,,Burn Time,~40hr,1,0,,Scent,Honey + implication,1,0,,,,,,Mildly Haunted Candle | Wonders & Oddities General Store,Mildly Haunted Candle: Beeswax candle. Faint whispering upon ignition. Ethically sourced ghost.,mildly candle,4.6,71,2026-04-16-a,no,no
1013,variable,WO-LEFT-SOCK,0850001000130,Left Sock of Destiny,1,1,visible,A single left sock. It knows things. Sold individually; the right is unavailable.,Each Left Sock of Destiny is knitted from yarn spun during full moons by someone named Brenda. Wearing it on the correct foot grants a vague sense of purpose. Wearing it on the wrong foot voids the warranty.,,,taxable,,1,,3,no,0,0.12,15,10,3,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,29.0,"Shop > Curiosities, Shop > Moods & Feelings","apparel, handcrafted, prophetic",standard,"woo-assets://product-wo-left-sock.jpg, woo-assets://product-wo-portable-hole.jpg, woo-assets://product-wo-invisible-umbrella.jpg",,,,,"WO-INVISIBLE-UMBRELLA, WO-GENTLY-USED-LUCK",WO-DREAD-REPELLENT,,,12,Size,Small|Medium|Large|X-Large,1,1,Medium,Color,Moonlit Grey|Midnight Wool|Scarlet,1,1,Moonlit Grey,Brand,Brenda's Yarn Works,1,1,,,,,,Left Sock of Destiny | Wonders & Oddities General Store,Left Sock of Destiny: A single left sock. It knows things. Sold individually; the right is unavailable.,left destiny,4.7,156,2026-04-16-a,no,no
1014,variation,WO-LEFT-SOCK-V1,,Left Sock of Destiny – Small / Moonlit Grey,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Small, Color: Moonlit Grey.",,,taxable,,1,12,3,no,0,0.12,15,10,3,0,,,29.0,,,standard,woo-assets://product-wo-left-sock.jpg,,,id:1013,,,,,,0,Size,Small,,,,Color,Moonlit Grey,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1015,variation,WO-LEFT-SOCK-V2,,Left Sock of Destiny – Medium / Moonlit Grey,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Medium, Color: Moonlit Grey.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,8,3,no,0,0.12,15,10,3,0,,24.0,29.0,,,standard,woo-assets://product-wo-left-sock.jpg,,,id:1013,,,,,,1,Size,Medium,,,,Color,Moonlit Grey,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1016,variation,WO-LEFT-SOCK-V3,,Left Sock of Destiny – Medium / Midnight Wool,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Medium, Color: Midnight Wool.",,,taxable,,1,3,3,no,0,0.12,15,10,3,0,,,32.0,,,standard,woo-assets://product-wo-left-sock.jpg,,,id:1013,,,,,,2,Size,Medium,,,,Color,Midnight Wool,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1017,variation,WO-LEFT-SOCK-V4,,Left Sock of Destiny – Large / Scarlet,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: Large, Color: Scarlet.",,,taxable,,0,0,3,no,0,0.12,15,10,3,0,,,34.0,,,standard,woo-assets://product-wo-left-sock.jpg,,,id:1013,,,,,,3,Size,Large,,,,Color,Scarlet,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1018,variation,WO-LEFT-SOCK-V5,,Left Sock of Destiny – X-Large / Midnight Wool,1,0,visible,,"Variation of Left Sock of Destiny. Specific combination: Size: X-Large, Color: Midnight Wool.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,5,3,no,0,0.12,15,10,3,0,,29.0,36.0,,,standard,woo-assets://product-wo-left-sock.jpg,,,id:1013,,,,,,4,Size,X-Large,,,,Color,Midnight Wool,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1019,variable,WO-PORTABLE-HOLE,0850001000147,Portable Hole,1,1,visible,"A real, functioning hole you can take with you. Multiple sizes available.",Unfold and place on any flat surface. Objects and small animals placed into the Portable Hole will descend indefinitely. NOT A TOY. Do not place on ceiling. Do not place on yourself.,,,taxable,,1,,3,no,0,0.0,40,40,1,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,79.0,Shop > Impossibilities,"storage, physics, bestseller",standard,"woo-assets://product-wo-portable-hole.jpg, woo-assets://product-wo-invisible-umbrella.jpg, woo-assets://product-wo-handcrafted-echo.jpg",,,,,"WO-DISCOUNT-GRAVITY, WO-SPARE-TUESDAY",WO-MOON-DUST,,,13,Size,Small|Medium|Large,1,1,Medium,Color,Obsidian|Violet|Fathomless,1,1,Obsidian,Brand,Depth Industries,1,1,,,,,,Portable Hole | Wonders & Oddities General Store,"Portable Hole: A real, functioning hole you can take with you. Multiple sizes available.",portable hole,4.9,344,2026-04-16-a,no,no
1020,variation,WO-PORTABLE-HOLE-V1,,Portable Hole – Small / Obsidian,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Small, Color: Obsidian.",,,taxable,,1,15,3,no,0,0.0,40,40,1,0,,,79.0,,,standard,woo-assets://product-wo-portable-hole.jpg,,,id:1019,,,,,,0,Size,Small,,,,Color,Obsidian,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1021,variation,WO-PORTABLE-HOLE-V2,,Portable Hole – Medium / Obsidian,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Medium, Color: Obsidian.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,8,3,no,0,0.0,40,40,1,0,,99.0,129.0,,,standard,woo-assets://product-wo-portable-hole.jpg,,,id:1019,,,,,,1,Size,Medium,,,,Color,Obsidian,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1022,variation,WO-PORTABLE-HOLE-V3,,Portable Hole – Medium / Violet,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Medium, Color: Violet.",,,taxable,,1,4,3,no,0,0.0,40,40,1,0,,,139.0,,,standard,woo-assets://product-wo-portable-hole.jpg,,,id:1019,,,,,,2,Size,Medium,,,,Color,Violet,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1023,variation,WO-PORTABLE-HOLE-V4,,Portable Hole – Large / Fathomless,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Large, Color: Fathomless.",,,taxable,,1,1,3,no,0,0.0,40,40,1,0,,,249.0,,,standard,woo-assets://product-wo-portable-hole.jpg,,,id:1019,,,,,,3,Size,Large,,,,Color,Fathomless,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1024,variation,WO-PORTABLE-HOLE-V5,,Portable Hole – Large / Obsidian,1,0,visible,,"Variation of Portable Hole. Specific combination: Size: Large, Color: Obsidian.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,0,3,notify,0,0.0,40,40,1,0,,179.0,229.0,,,standard,woo-assets://product-wo-portable-hole.jpg,,,id:1019,,,,,,4,Size,Large,,,,Color,Obsidian,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1025,variable,WO-INVISIBLE-UMBRELLA,0850001000154,Invisible Umbrella,1,0,visible,You can't see it. Neither can the rain.,"A perfectly functional umbrella that is, through undisclosed methods, invisible. Provided in a visible carrying case so you don't misplace it (you will misplace it).",,,taxable,,1,,5,no,0,0.45,90,6,6,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,56.0,"Shop > Curiosities, Shop > Impossibilities","weather, handcrafted, invisible",standard,woo-assets://product-wo-invisible-umbrella.jpg,,,,,WO-FOG-IN-BOTTLE,WO-LEFT-SOCK,,,14,Size,Compact|Standard|Golf,1,1,Standard,Color,Invisible|Also Invisible,1,1,Invisible,Brand,NoShow Rainwear,1,1,,,,,,Invisible Umbrella | Wonders & Oddities General Store,Invisible Umbrella: You can't see it. Neither can the rain.,invisible umbrella,3.9,42,2026-04-16-a,no,no
1026,variation,WO-INVISIBLE-UMBRELLA-V1,,Invisible Umbrella – Compact / Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Compact, Color: Invisible.",,,taxable,,1,20,3,no,0,0.45,90,6,6,0,,,56.0,,,standard,woo-assets://product-wo-invisible-umbrella.jpg,,,id:1025,,,,,,0,Size,Compact,,,,Color,Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1027,variation,WO-INVISIBLE-UMBRELLA-V2,,Invisible Umbrella – Standard / Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Standard, Color: Invisible.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,14,3,no,0,0.45,90,6,6,0,,58.0,72.0,,,standard,woo-assets://product-wo-invisible-umbrella.jpg,,,id:1025,,,,,,1,Size,Standard,,,,Color,Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1028,variation,WO-INVISIBLE-UMBRELLA-V3,,Invisible Umbrella – Golf / Also Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Golf, Color: Also Invisible.",,,taxable,,1,3,3,no,0,0.45,90,6,6,0,,,98.0,,,standard,woo-assets://product-wo-invisible-umbrella.jpg,,,id:1025,,,,,,2,Size,Golf,,,,Color,Also Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1029,variable,WO-HANDCRAFTED-ECHO,0850001000161,Handcrafted Echo,1,0,visible,"A custom echo, tuned to your preferred canyon.",Wind up the brass reel and release to deploy the echo of your choice. Each echo is tuned by hand in a small workshop and tested in at least two canyons. Refills sold separately.,,,taxable,,1,,5,no,0,0.3,9,9,6,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,65.0,"Shop > Curiosities, Shop > Moods & Feelings","handcrafted, acoustic, brass",standard,woo-assets://product-wo-handcrafted-echo.jpg,,,,,WO-SILENCE-JAR,WO-DREAD-REPELLENT,,,15,Canyon Type,Shallow|Deep|Desert|Mountain,1,1,Deep,Delay,0.5s|1.0s|2.0s,1,1,1.0s,Brand,Reverb Artisans,1,1,,,,,,Handcrafted Echo | Wonders & Oddities General Store,"Handcrafted Echo: A custom echo, tuned to your preferred canyon.",handcrafted echo,4.4,22,2026-04-16-a,no,no
1030,variation,WO-HANDCRAFTED-ECHO-V1,,Handcrafted Echo – Shallow / 0.5s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Shallow, Delay: 0.5s.",,,taxable,,1,10,3,no,0,0.3,9,9,6,0,,,65.0,,,standard,woo-assets://product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,0,Canyon Type,Shallow,,,,Delay,0.5s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1031,variation,WO-HANDCRAFTED-ECHO-V2,,Handcrafted Echo – Deep / 1.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Deep, Delay: 1.0s.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,6,3,no,0,0.3,9,9,6,0,,59.0,75.0,,,standard,woo-assets://product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,1,Canyon Type,Deep,,,,Delay,1.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1032,variation,WO-HANDCRAFTED-ECHO-V3,,Handcrafted Echo – Desert / 2.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Desert, Delay: 2.0s.",,,taxable,,1,2,3,no,0,0.3,9,9,6,0,,,89.0,,,standard,woo-assets://product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,2,Canyon Type,Desert,,,,Delay,2.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1033,variation,WO-HANDCRAFTED-ECHO-V4,,Handcrafted Echo – Mountain / 2.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Mountain, Delay: 2.0s.",,,taxable,,0,0,3,no,0,0.3,9,9,6,0,,,95.0,,,standard,woo-assets://product-wo-handcrafted-echo.jpg,,,id:1029,,,,,,3,Canyon Type,Mountain,,,,Delay,2.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1034,variable,WO-MEMORY-FOAM-MEMORY,0850001000178,Memory Foam Memory,1,0,visible,A memory that remembers you. Comes in three densities.,"Not a pillow. Not a mattress. A standalone memory, molded from ethically sourced memory foam and imprinted with one of several pleasant recollections. Place on nightstand.",,,taxable,,1,,5,no,0,0.2,15,15,10,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,48.0,"Shop > Moods & Feelings, Shop > Curiosities","soft, memory, handcrafted",standard,woo-assets://product-wo-memory-foam-memory.jpg,,,,,"WO-SPARE-TUESDAY, WO-BORROWED-NOSTALGIA",WO-SILENCE-JAR,,,16,Density,Soft|Medium|Firm,1,1,Medium,Memory,Beach Day|Warm Kitchen|Rainy Afternoon,1,1,Warm Kitchen,Brand,Wonders & Co.,1,1,,,,,,Memory Foam Memory | Wonders & Oddities General Store,Memory Foam Memory: A memory that remembers you. Comes in three densities.,memory memory,4.8,93,2026-04-16-a,no,no
1035,variation,WO-MEMORY-FOAM-MEMORY-V1,,Memory Foam Memory – Soft / Beach Day,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Soft, Memory: Beach Day.",,,taxable,,1,12,3,no,0,0.2,15,15,10,0,,,48.0,,,standard,woo-assets://product-wo-memory-foam-memory.jpg,,,id:1034,,,,,,0,Density,Soft,,,,Memory,Beach Day,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1036,variation,WO-MEMORY-FOAM-MEMORY-V2,,Memory Foam Memory – Medium / Warm Kitchen,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Medium, Memory: Warm Kitchen.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,9,3,no,0,0.2,15,15,10,0,,42.0,54.0,,,standard,woo-assets://product-wo-memory-foam-memory.jpg,,,id:1034,,,,,,1,Density,Medium,,,,Memory,Warm Kitchen,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
